"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","44928.83","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7583","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4872.75","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30523.62","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","44461.01","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7612.648128","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4660.968","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","31007.64","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","45374.68","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7755.932849","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5824.053","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30726.52","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","44596.07","Index","Normal","","20","KSE 100 Index of the last working day of the month."
